LP_city,to_location,legs_outbound,from_location,local_price,outbound_departure_dt,local_ccy,inbound_departure_dt,destination_city,difference_from_median,destination_country,legs_inbound,local_median,origin_city,origin_market,Landing_Page_Link
San Francisco,DUB,1,SFO,540.16,1/30/20 17:30,USD,2/9/20 12:35,Dublin,-38,Ireland,1,872.68,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/DUB/20200130/20200209?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=540&qp_prevProvider=DS_RDS_Standard
San Francisco,CDG,2,SFO,476.47,3/20/20 22:25,USD,3/29/20 15:55,Paris,-12,France,1,542,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/CDG/20200320/20200329?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=476&qp_prevProvider=DS_RDS_Standard
San Francisco,DUB,2,SFO,474.58,9/1/20 12:15,USD,9/8/20 10:55,Dublin,-46,Ireland,2,872.55,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/DUB/20200901/20200908?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=474&qp_prevProvider=DS_RDS_Standard
San Francisco,BCN,2,SFO,323.13,1/20/20 19:50,USD,1/30/20 9:45,Barcelona,-47,Spain,2,613.04,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/BCN/20200120/20200130?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=323&qp_prevProvider=DS_RDS_Standard
San Francisco,CDG,2,SFO,275.55,2/15/20 20:35,USD,2/22/20 10:25,Paris,-49,France,2,541.75,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/CDG/20200215/20200222?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=275&qp_prevProvider=DS_RDS_Standard
San Francisco,JFK,1,SFO,256.6,1/16/20 23:59,USD,1/20/20 6:37,New York,-26,United States,1,346.58,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/JFK/20200116/20200120?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=256&qp_prevProvider=DS_RDS_Standard
San Francisco,LAS,1,SFO,123.6,11/16/19 15:50,USD,11/18/19 13:00,Las Vegas,-30,United States,1,177.8,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/LAS/20191116/20191118?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=123&qp_prevProvider=DS_RDS_Standard
San Francisco,LAS,1,SFO,42.61,11/16/19 15:50,USD,11/19/19 13:00,Las Vegas,-76,United States,1,177.76,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/LAS/20191116/20191119?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=42&qp_prevProvider=DS_RDS_Standard
San Francisco,LHR,2,SFO,373.15,1/20/20 13:05,USD,1/29/20 8:50,London,-51,United Kingdom,2,766.69,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/LHR/20200120/20200129?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=373&qp_prevProvider=DS_RDS_Standard
San Francisco,CDG,1,SFO,410.64,3/24/20 15:25,USD,4/15/20 9:15,Paris,-24,France,1,542,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/CDG/20200324/20200415?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=410&qp_prevProvider=DS_RDS_Standard
San Francisco,BCN,2,SFO,424.45,3/26/20 22:40,USD,4/6/20 6:25,Barcelona,-31,Spain,2,613.19,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/BCN/20200326/20200406?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=424&qp_prevProvider=DS_RDS_Standard
San Francisco,SYD,1,SFO,861.75,12/8/19 20:30,USD,6/8/20 19:55,Sydney,-31,Australia,1,1249.9,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/SYD/20191208/20200608?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=861&qp_prevProvider=DS_RDS_Standard
San Francisco,CDG,1,SFO,384.65,3/2/20 14:25,USD,3/11/20 9:00,Paris,-45,France,1,695.18,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/CDG/20200302/20200311?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=384&qp_prevProvider=DS_RDS_Standard
